passes,QuickSort,MergeSort,InsertionSort,SelectionSort,BubbleSort
10000,00:00:000775,00:00:000902,00:00:051404,00:00:222986,00:00:092892
20000,00:00:001600,00:00:001906,00:00:357801,00:00:291220,00:00:477017
30000,00:00:002485,00:00:002961,00:00:408399,00:00:469663,00:01:031861
40000,00:00:003327,00:00:004016,00:00:466200,00:00:436267,00:02:070936
50000,00:00:004228,00:00:005312,00:01:473542,00:00:227874,00:03:496098
60000,00:00:005118,00:00:203752,00:01:504677,00:01:426767,00:05:339082
70000,00:00:006226,00:00:007531,00:03:032226,00:01:285491,00:07:470938
80000,00:00:006981,00:00:008463,00:03:484877,00:02:515270,00:09:451360
90000,00:00:007943,00:00:009629,00:03:010262,00:03:072800,00:12:487638
100000,00:00:008996,00:00:010893,00:06:469119,00:03:257705,00:15:563561
110000,00:00:009823,00:00:012147,00:07:357870,00:04:379750,00:19:349754
120000,00:00:010836,00:00:013363,00:07:092607,00:05:454889,00:22:077993
130000,00:00:011684,00:00:014380,00:07:402148,00:06:473561,00:26:275764
140000,00:00:012737,00:00:015870,00:12:475601,00:07:381645,00:31:479517
150000,00:00:208260,00:00:017160,00:14:253394,00:08:269124,00:36:421309
160000,00:00:014642,00:00:018478,00:12:474605,00:10:250498,00:41:383958
170000,00:00:015449,00:00:019257,00:18:196349,00:10:134159,00:46:248787
180000,00:00:016401,00:00:020285,00:21:476045,00:12:356067,00:51:156799
190000,00:00:210500,00:00:021449,00:22:206444,00:13:195446,00:58:336335
200000,00:00:018343,00:00:022764,00:20:328443,00:15:248883,01:04:241572
210000,00:00:019063,00:00:024906,00:26:282079,00:16:550549,01:11:392230
